index,Company,TypeName,Inches,Resolution_Width,Resolution_Heigth,Touch_Screen,Cpu_Brand,Cpu_Name,Cpu_Speed,Ram,Memory_Type,Primary_Storage,Secondary_Storage,Gpu_Brand,OpSys,Weigth(kg),Price
1217,Lenovo,Notebook,17.3,1600,900,No,Intel,"Core i5",2.5GHz,8,HDD,1024,0,Intel,N/A,2.8,28717.9
1218,Lenovo,Gaming,15.6,1920,1080,No,Intel,"Core i7",2.6GHz,8,Hybrid,128,1024,Nvidia,windows,2.6,67772.2
1219,Acer,"2 in 1 Convertible",14.0,1920,1080,Yes,Intel,"Core i7",1.3GHz,8,SDD,256,0,Intel,windows,1.2,61218.7
1220,Lenovo,Notebook,15.6,1920,1080,No,Intel,"Core i7",2.6GHz,8,SDD,256,0,Intel,windows,2.3,81465.1
1221,MSI,Gaming,15.6,1920,1080,No,Intel,"Core i7",2.6GHz,8,Hybrid,128,1024,Nvidia,windows,2.2,78647.1
1222,HP,Notebook,15.6,1920,1080,No,AMD,"A12-Series 9720P",2.7GHz,6,HDD,1024,0,AMD,windows,2.1,28185.1
1223,Dell,Ultrabook,12.5,1920,1080,Yes,Intel,"Core i5",2.4GHz,8,SDD,256,0,Intel,windows,1.26,91288.4
1224,Dell,"2 in 1 Convertible",15.0,1920,1080,Yes,Intel,"Core i3",2.4GHz,4,HDD,500,0,Intel,windows,2.08,27119.5
1225,Asus,Notebook,15.6,1366,768,No,Intel,"Pentium Quad",1.6GHz,4,HDD,1024,0,Intel,windows,2.65,16463.5
1226,Dell,Ultrabook,13.3,3200,1800,Yes,Intel,"Core i7",2.7GHz,8,SDD,256,0,Intel,windows,1.29,78694.6
1227,Dell,Notebook,15.6,1366,768,No,Intel,"Core i5",2.5GHz,4,HDD,1024,0,Intel,linux,2.18,27804.7
